customer_id,first_name,last_name,email,signup_date,country
1,Alice,Smith,alice@example.com,2023-01-15,US
2,Bob,Jones,bob@example.com,2023-02-20,UK
3,Carol,White,carol@example.com,2023-03-10,US
4,David,Brown,david@example.com,2023-04-05,CA
5,Eve,Davis,eve@example.com,2023-05-12,AU
6,Frank,Miller,frank@example.com,2023-06-18,US
7,Grace,Wilson,grace@example.com,2023-07-22,UK
8,Henry,Moore,henry@example.com,2023-08-30,US
9,Iris,Taylor,iris@example.com,2023-09-14,CA
10,Jack,Anderson,jack@example.com,2023-10-01,US
